id,group,text
g1_40,1,handmade meal kit for everyday households
g0_136,0,reinforced steel fittings for workshop use
g0_111,0,machined fastener set built to industrial spec
g1_38,1,seasonal coffee roast from a family kitchen
g1_130,1,fresh snack box delivered fresh daily
g0_82,0,industrial bearing assembly for the construction trade
g1_197,1,homemade tea selection packaged to order
g1_185,1,local spice mix made in small batches
g0_11,0,heavy-duty steel fittings shipped by the pallet
g0_80,0,reinforced hardware kit shipped by the pallet
g1_192,1,organic cheese board delivered fresh daily
g1_45,1,organic cheese board packaged to order
g1_48,1,small-batch produce stand sold at the weekend market
g0_168,0,welded electrical conduit rated for heavy loads
g0_54,0,industrial electrical conduit built to industrial spec
g0_133,0,reinforced cutting blades built to industrial spec
g0_8,0,welded power tools for the construction trade
g1_95,1,small-batch juice blend from a family kitchen
g0_69,0,mixed inventory for local shops
g1_24,1,small-batch produce stand sold at the weekend market
g0_144,0,machined hardware kit built to industrial spec
g0_156,0,industrial pipe fixtures for workshop use
g1_28,1,small-batch bakery goods delivered fresh daily
g0_198,0,industrial engine parts sold to contractors
g1_141,1,homemade bakery goods from a family kitchen
g0_41,0,general goods and supplies
g1_191,1,artisan juice blend sold at the weekend market
g0_118,0,precision steel fittings for the construction trade
g1_1,1,seasonal specials and gifts
g1_108,1,homemade meal kit sold at the weekend market
g0_17,0,welded engine parts built to industrial spec
g0_167,0,galvanized bearing assembly sold to contractors
g1_34,1,assorted retail items
g1_193,1,artisan bakery goods from a family kitchen
g0_199,0,mixed inventory for local shops
g0_88,0,welded bearing assembly built to industrial spec
g0_113,0,industrial hardware kit sold to contractors
g0_187,0,machined pipe fixtures shipped by the pallet
g1_101,1,fresh meal kit made in small batches
g0_95,0,modular hardware kit shipped by the pallet
g0_63,0,modular engine parts sold to contractors
g0_39,0,machined steel fittings for workshop use
g0_73,0,galvanized power tools sold to contractors
g1_73,1,organic tea selection from a family kitchen
g1_110,1,assorted retail items
g0_155,0,welded cutting blades built to industrial spec
g1_66,1,artisan snack box delivered fresh daily
